section,group,metric,value
condition_ratios,wet_road,rate_ratio,2.797791492485824
condition_ratios,icy_road,rate_ratio,0.6652303999418896
standardized_ratios,light_rain,rate_ratio,0.9231330997330379
standardized_ratios,heavy_rain,rate_ratio,0.9639940622788323
rate_by_rain_share,none,rate_per_1000h,667.8345528404341
rate_by_rain_share,none,n_hours,558559.0
rate_by_rain_share,none,n_accidents,373025.0
rate_by_rain_share,low,rate_per_1000h,764.3402618282039
rate_by_rain_share,low,n_hours,1323616.0
rate_by_rain_share,low,n_accidents,1011693.0
rate_by_rain_share,medium,rate_per_1000h,746.4003775448932
rate_by_rain_share,medium,n_hours,544571.0
rate_by_rain_share,medium,n_accidents,406468.0
rate_by_rain_share,high,rate_per_1000h,603.8429478273879
rate_by_rain_share,high,n_hours,46787.0
rate_by_rain_share,high,n_accidents,28252.0
rate_by_frost_share_winter,none,rate_per_1000h,694.4782133972692
rate_by_frost_share_winter,none,n_hours,355356.0
rate_by_frost_share_winter,none,n_accidents,246787.0
rate_by_frost_share_winter,low,rate_per_1000h,605.1892058359318
rate_by_frost_share_winter,low,n_hours,259770.0
rate_by_frost_share_winter,low,n_accidents,157210.0
rate_by_frost_share_winter,medium,rate_per_1000h,554.2409196565519
rate_by_frost_share_winter,medium,n_hours,252964.0
rate_by_frost_share_winter,medium,n_accidents,140203.0
rate_by_frost_share_winter,high,rate_per_1000h,476.6006970139719
rate_by_frost_share_winter,high,n_hours,158103.0
rate_by_frost_share_winter,high,n_accidents,75352.0
severity_by_road_condition,dry,share_severe,0.19252165302260596
severity_by_road_condition,dry,n_accidents,1474390.0
type_by_road_condition,dry,share_loss_of_control,0.16201276460095362
severity_by_road_condition,wet,share_severe,0.17514743533808502
severity_by_road_condition,wet,n_accidents,469867.0
type_by_road_condition,wet,share_loss_of_control,0.24691029589224184
severity_by_road_condition,icy,share_severe,0.17731436551707813
severity_by_road_condition,icy,n_accidents,42247.0
type_by_road_condition,icy,share_loss_of_control,0.6485667621369565
severity_by_road_condition,all,chi2_p_value,8.538419454443327e-169
