section,group,metric,value
commuter_rate_by_condition,neutral,rate_per_1000h,1439.1105344721952
commuter_rate_by_condition,neutral,n_hours,27747.0
commuter_rate_by_condition,strong_sun,rate_per_1000h,2306.363636363636
commuter_rate_by_condition,strong_sun,n_hours,3300.0
commuter_rate_by_condition,strong_sun,rate_ratio_vs_neutral,1.0267791980356844
commuter_rate_by_condition,hot,rate_per_1000h,2617.8861788617883
commuter_rate_by_condition,hot,n_hours,1230.0
commuter_rate_by_condition,hot,rate_ratio_vs_neutral,1.0153869801211903
commuter_rate_by_condition,rainy,rate_per_1000h,
commuter_rate_by_condition,rainy,n_hours,0.0
commuter_rate_by_condition,rainy,rate_ratio_vs_neutral,
solar_rate_correlation,station_months,pearson_r,0.05855149004087244
solar_rate_correlation,station_months,p_value,0.3280911293839273
solar_rate_correlation,station_months,n,281.0
